rus,o'zbek,inglizcha
и,va,and
в / во,ichida / da,in / inside of / at
не,emas / yo'q,not / no
он,u (erkak),he
на,ustida / ga / da,on / over / to
я,men,I
что,nima / u,that / what
тот,u / o'sha,that
быть,bo'lmoq,to be
с / со,bilan / dan / dan boshlab,with / from / since
а,lekin / esa,but / whereas
весь,hamma / butun,all / entire
это,bu / u,this / it
как,qanday / qancha,how
она,u (ayol),she
по,bo'ylab / bo'yicha,on / along
но,lekin,but
они,ular,they
к / ко,ga / tomon,to / towards
у,yonida / da,at / close to
из / изо,dan / ichidan,from / out of
мы,biz,we
за,uchun / ortida,for / behind
ты,sen,you / thou
вы,siz,you
так,shunday / shu tarzda,so / thus
сказать,aytmoq / gapirmoq,to tell
от,dan,off / from
этот,bu,this
который,qaysi / u,which
мочь,qila olmoq,can
о / об / обо,haqida / to'g'risida,about / on the topic of
человек,odam / inson,person
один,bir,one
ещё,hali / yana,still / yet / more
такой,bunday / shunday,such
только,faqat,only
себя,o'zini / o'zim / o'zing,myself / himself / herself / itself
своё,o'zining,its / own
какой,qanday / qaysi,what / which
для,uchun,for
уже / уж,allaqachon,already
когда,qachon,when
кто,kim,who
вот,mana / ana,here is / there
да,ha,yes
год,yil,year
знать,bilmoq,to know
если,agar / agar-da,if / in case
до,gacha / ga qadar,until / up to
говорить,gapirmoq / so'zlamoq,to speak
или,yoki,or
мой,mening,mine
время,vaqt,time
рука,qo'l,hand
самый,eng,most
нет,yo'q,no
ни,hech / na,not a / in no
стать,bo'lmoq / aylanmoq,to become
большой,katta / ulkan,big
наш,bizning,ours
даже,hatto,even
другой,boshqa,another
свой,o'zining,its / own
дело,ish / vazifa,business
под,ostida / pastida,under
где,qayerda,where
ну,xo'sh / bo'ldi,well / come on
сам,o'zi / o'zim / o'zing,myself / yourself / itself
есть,bo'lmoq / yemoq,to be / to eat
раз,marta / bir marta,time / once
два,ikki,two
чем,dan (taqqoslash) / o'rniga,than / instead of
там,u yerda / o'sha yerda,there
глаз,ko'z,eye
первый,birinchi,first
день,kun,day
жизнь,hayot / umr,life
тут,bu yerda,here
ничто,hech narsa,nothing
потом,keyin / so'ngra,then / afterwards
очень,juda / g'oyat,very
ли,mi (so'roq yuklamasi) / yoki,whether
при,da / bilan / paytida,at / with / at the time of
хотеть,xohlamoq / istamoq,to want
надо,kerak / zarur,need / one must
голова,bosh,head
без,siz / -siz,without
видеть,ko'rmoq,to see
теперь,endi / hozir,now
идти,bormoq / yurmoq,to go
друг,do'st,friend
сейчас,hozir / hoziroq,now
стоять,turmoq,to stand
дом,uy,house
тоже,ham,too
после,keyin / dan so'ng,after
можно,mumkin / bo'ladi,it is possible / one may
слово,so'z,word
через,orqali / bo'ylab / dan keyin,across / through / after
место,joy / o'rin,place
думать,o'ylamoq,to think
здесь,bu yerda,here
спросить,so'ramoq,to ask
лицо,yuz / aft,face
тогда,u payt / o'shanda,then
что (мест.),nima / u,that / which
должный,kerakli / lozim,due / proper
ведь,axir / aslida,in fact
новый,yangi,new
каждый,har bir / hamma,everyone
хороший,yaxshi,good
жить,yashаmoq,to live
почему,nima uchun / nega,why
потому,shuning uchun,that is why
сторона,tomon / yon,side
смотреть,qaramoq / ko'rmoq,to look
иметь,ega bo'lmoq,to have
просто,oddiy / shunchaki,simply
понять,tushunmoq / anglamoq,to understand
сидеть,o'tirmoq,to sit
нога,oyoq / oyoq (pastki qism),leg
делать,qilmoq / bajarmoq,to do
сделать,qilmoq / yasamoq,to make
вдруг,to'satdan / birdaniga,suddenly
никто,hech kim,no one / nobody
работа,ish / mehnat,work
перед,oldida / dan oldin,before / in front of
ваш,sizning,yours
нужный,kerakli / zaruriy,necessary
над / надо,ustida,above / on top of
взять,olmoq / ko'tarmoq,to take
конечно,albatta,certainly
понимать,tushunmoq,to understand
дверь,eshik,door
казаться,ko'rinmoq / tuyulmoq,to seem
три,uch,three
конец,oxir / uchi,end
город,shahar,city
несколько,bir necha / biroz,somewhat / slightly
начать,boshlаmoq,to begin
голос,ovoz,voice
час,soat,hour
пока,hali / -gacha / shu vaqtgacha,while
последний,oxirgi,last
более,ko'proq,more
земля,yer / tuproq,ground
хорошо,yaxshi / yaxshilab,well
хотя,garchi / bo'lsa ham,although / though
сила,kuch,force
вода,suv,water
второй,ikkinchi,second
увидеть,ko'rmoq,to see
всегда,har doim / doimo,always
давать,bermoq,to give
случай,holat / vaziyat,case
куда,qayerga,where
пойти,bormoq,to go
стол,stol,table
машина,mashina / avtomobil,machine / car
мир,dunyo / tinchlik,world
ночь,tun / kecha,night
женщина,ayol / xotin,woman
остаться,qolmoq,to remain
сразу,darhol / birdan,at once
совсем,butunlay / umuman,absolutely / entirely
ребёнок,bola / go'dak,child
выйти,chiqmoq,to leave
вид,tur / ko'rinish,kind / appearance
отец,ota,father
вопрос,savol / masala,question
дать,bermoq,to give
работать,ishlamoq,to work
оказаться,bo'lib chiqmoq,to appear
ряд,qator / saflar,row / line
почти,deyarli / qariyb,almost
снова,yana / qaytadan,again
старый,eski / keksa,old
страна,mamlakat / davlat,country
твой,sening,yours / thy
между,orasida / o'rtasida,between
ответить,javob bermoq,to answer
много,ko'p,much / lots of
война,urush,war
подумать,o'ylamoq,to think
деньги,pul,money
любить,sevmoq / yaxshi ko'rmoq,to love
значить,anglatmoq / bildirmoq,to mean
белый,oq,white
главный,asosiy / bosh,main
минута,daqiqa,minute
лишь,faqat / zotan,only / as soon as
товарищ,o'rtoq / sherик,comrade
опять,yana / qaytadan,again
ждать,kutmoq,to wait
однако,ammo / lekin / biroq,however / yet / still
правда,haqiqat,truth
посмотреть,qarab ko'rmoq,to look
про,haqida / to'g'risida,about
никогда,hech qachon,never
будто / словно,go'yo / xuddi,as if / as though
часть,qism / bo'lak,part
именно,aynan / xuddi,specifically / exactly
найти,topmoq,to find
дорога,yo'l / ko'cha,road
свет,yorug'lik / nur,light
жена,xotin / rafiqа,wife
никакой,hech qanday,any / none
лежать,yotmoq,to lay
окно,deraza,window
Россия,Rossiya,Russia
мать,ona / aya,mother
решить,hal etmoq / yechmoq,to solve
получить,olmoq / qo'lga kiritmoq,to receive
Москва,Moskva,Moscow
писать,yozmoq,to write
улица,ko'cha,street
вернуться,qaytmoq / qaytib kelmoq,to return
вообще,umuman / asosан,in general
некоторый,ba'zi / ayrim,some / certain
далёкий,uzoq / yiroq,far / distant
маленький,kichik / kichkina,small
считать,hisоblamoq / hisoblamoq,to consider / to count
комната,xona / uy,room
утро,ertalab / tong,morning
советский,sovet,soviet
вечер,kech / oqshom,evening
сегодня,bugun,today
душа,ruh / jon,soul
книга,kitob,book
плечо,yelka,shoulder
вместе,birga / birgalikda,together
таки,baribir / nihoyat,still / after all / in spite of
чуть,zo'rg'a / sal,hardly / only
пол,pol / zamin,floor
помнить,eslamoq / xotirlаmoq,to remember
сколько,qancha / nechta,how many / how much
народ,xalq / odamlar,people
хоть,hatto / bo'lsa ham,even / though
взгляд,nazar / qarashmoh,glance / sight
русский,rus,Russian
зачем,nima uchun / nega,what for
история,tarix / hikoya,history
полный,to'la / to'liq,full
узнать,bilib olmoq / tanib olmoq,to learn / to recognize
любой,har qanday / istalgan,any
Бог,Xudo / Iloh,God
прийти,kelmoq,to come
ходить,yurmoq / borib kelmoq,to walk / to go
заметить,sezmoq / payqаmoq,to notice
известный,mashhur / ma'lum,known
палец,barmoq (qo'l yoki oyoq),finger / toe
наконец,nihoyat / axir,at last
общий,umumiy / hammaga tegishli,general
имя,ism / nom,name
назад,orqага / oldingi paytga,back
бывать,bo'lmoq / uchrab turmoq,to happen / to occur
мысль,fikr / o'y,idea
слышать,eshitmoq,to hear
уйти,ketmoq / chiqib ketmoq,to leave
прошлый,o'tgan / keyingi,past / last
бояться,qo'rqmoq,to be afraid
быстро,tez / shoshilinch,quickly
давно,uzoq vaqtdan beri / ancha oldin,long ago
слушать,tinglаmoq / eshitmoq,to listen
прямо,to'g'ridan-to'g'ri / bevosita,directly
разговор,suhbat / so'zlashув,conversation
долго,uzoq vaqt davomida,for a long time
нельзя,mumkin emas / bo'lmaydi,it is impossible / must not
похожий,o'xshash,similar
право,huquq,right
лес,o'rmon,woods / forest
пять,besh,five
глядеть,qaramoq / ko'rmoq,to look
сын,o'g'il,son
путь,yo'l / usul,way
тысяча,ming,one thousand
пора,fasl / vaqt / mahal,season / time
красный,qizil,red
сесть,o'tirmoq,to sit down
оно,u (narsalar uchun),it
кроме,bundan tashqari / dan boshqa,except for
стена,devor,wall
оставаться,qolmoq,to remain
высокий,baland / uzun bo'yli,high
хотеться,xohlаmoq (ixtiyorsiz),to be wanted
совершенно,butunlay / mutlaqo,absolutely
поэтому,shuning uchun,therefore
написать,yozmoq,to write
пусть,qo'ysin / bo'lsin,let
ранний,erta / ertalabki,early
читать,o'qimoq,to read
чувствовать,his qilmoq / sezmoq,to feel
спина,orqa,back
месяц,oy,month
целый,butun / to'liq,whole
вести,boshchilik qilmoq / olib bormoq,to lead / to drive
молодой,yosh,young
огромный,ulkan / katta,huge
тело,tana / badan,body
настоящий,haqiqiy / hozirgi,present / real / genuine
продолжать,davom ettirmoq,to continue
точно,aniq / to'g'ri,precisely
язык,til,language
мама,mama / ona,mum
среди,orasida / ichida,among
старик,chоl / keksa erkak,old man
успеть,ulgurib qolmoq / vaqtida yetmoq,to be in time
смерть,o'lim,death
власть,hokimiyat / kuch,authority / power
мальчик,bola / o'g'il bola,boy
также,shuningdek / ham,also
брать,olmoq,to take
образ,obraz / ko'rinish / rasm,image
письмо,xat,letter
живой,tirik / jonli,alive
отношение,munosabat / aloqa,attitude
сердце,yurak,heart
начальник,boshliq / rahbar,chief
пройти,o'tmoq / o'tib ketmoq,to pass
начинать,boshlamoq,to begin
вокруг,atrofida / tevaragida,around
появиться,paydo bo'lmoq,to appear
чёрный (прил.),qora (sifat),black
девушка,qiz / qiz bola,girl
солдат,askar / jangchi,soldier
иногда,ba'zan / gohida,sometimes
забыть,unutmoq,to forget
вспомнить,eslamoq / yodga olmoq,to recollect
небо,osmon,sky
затем,so'ngra / keyin,then
система,tizim / sistema,system
воздух,havo,air
оба,ikkalasi ham,both
собственный,o'zining / shaxsiy,own
пытаться,urinmoq / harakat qilmoq,to try
находиться,joylashmoq / bo'lmoq,be found / to be
держать,ushlamoq / tutmoq,to hold
просить,so'ramoq / iltimos qilmoq,to ask
показать,ko'rsatmoq,to show
разный,turli / har xil,different
ребята,bolalar / yigitlar,children
брат,aka / uka / ukа,brother
квартира,kvartira / uy,apartment
откуда,qayerdan,from where / whence
выходить,chiqmoq,to come out
четыре,to'rt,four
поднять,ko'tarmoq,to lift
генерал,general,general
называть,atamoq / nomlаmoq,to name
третий,uchinchi,third
послать,yubormoq,to send
подойти,yaqinlashmoq / kelib qolmoq,to approach
рассказать,hikoya qilmoq / aytmoq,to tell
особенно,ayniqsa / xususan,especially
кровь,qon,blood
встать,turmoq / o'rnidan turmoq,to stand up
шаг,qadam,step
спрашивать,so'ramoq,to ask
хозяин,egasi / xo'jayin,owner
внимание,e'tibor / diqqat,attention
следовать,ergashmoq / itoat etmoq,to follow
поставить,qo'ymoq,to put
бросить,uloqtirmoq / tashlаmoq,to throw
вроде,taxminan / singari,like / kinda
великий,buyuk / ulug',great
например,masalan,for example
оставить,qoldirmoq / tashlab ketmoq,to leave / to give up / to keep
туда,u yoqqa / u yерга,there
действительно,haqiqatan ham,really
мало,kam / ozgina,a little / few
школа,maktab,school
равно,teng / baravаr,equally
труд,mehnat / ish,labour / work
капитан,kapitan,captain
сюда,bu yerga / shu tomonga,here / this way
слишком,haddan tashqari / juda,too
следующий,keyingi / navbatdagi,following
тяжёлый,og'ir / qiyin,heavy
парень,yigit / bola,guy
группа,guruh,group
солнце,quyosh,sun
любовь,sevgi / muhabbat,love
отвечать,javob bermoq,to answer
ухо,quloq,ear
уходить,ketmoq / uzoqlashmoq,to leave / to go away
неделя,hafta,week
войти,kirmoq,to enter
чтоб / чтобы,uchun / maqsadida,so that / in order to
рассказывать,hikoya qilmoq,to tell
молчать,jim turmoq / indаmаsliк,to be silent
ответ,javob,answer
десять,o'n,ten
спать,uxlamoq / yotmoq,to sleep
готовый,tayyor,ready
являться,bo'lmoq / hisoblanmoq,to appear
двадцать,yigirma,twenty
берег,qirg'oq / soхil,coast
помощь,yordam,help
мужчина,erkak / erkak kishi,man
момент,lahza / daqiqa,moment
искать,qidirmoq / izlamoq,to search
остановиться,to'xtamoq,to stop
личный,shaxsiy,personal
газета,gazeta,newspaper
длинный,uzun,long
видно,ko'rinadi / ravshan,obviously / evidently
против,qarshi,against
верить,ishonmoq,to trust
чувство,his / tuyg'u,feeling
порядок,tartib / nazorat,order
семья,oila,family
армия,armiya / qo'shin,army
немного,biroz / ozginа,a little
играть,o'ynamoq,to play
возможность,imkoniyat / imkon,opportunity
сильный,kuchli,strong
разве,nahotki / ehtimol,perhaps / unless
впрочем,biroq / ammo,however
становиться,bo'lmoq / aylanmoq,to become
движение,harakat,movement
муж,er / turmush o'rtog'i,husband
нос,burun,nose
тихо,jimgina / sekin,silently
знакомый,tanish (ot) / tanish (sifat),friend
огонь,o't / alanga,fire
двор,hovli / tashqari,yard / outdoors
смочь,qila olmoq,can
иной,boshqa,other
бежать,yugurmoq,to run
скорый,tez / shoshilinch,fast
наверное,ehtimol / balki,probably
приехать,kelib qolmoq / yetib kelmoq,to arrive
простой,oddiy / sodda,simple
принять,qabul qilmoq,to accept
угол,burchak,corner
смысл,ma'no / mohiyat,sense
открыть,ochmoq,to open
общество,jamiyat,society
грудь,ko'krak,breast
военный,harbiy,military
происходить,sodir bo'lmoq / kelib chiqmoq,to occur / to descend from
дерево,daraxt,tree
немец,nemis,German
губа,lab,lip
снег,qor,snow
либо,yoki / yo,or / either..or
дядя,амаки / tog'а / амаki,uncle
ехать,bormoq / haydamoq (transport),to ride / to drive
очередь,navbat,turn / queue
форма,shakl / kiyim,form
закон,qonun,law
собираться,to'planmoq / yig'ilmoq,to gather
показаться,ko'rinmoq / tuyulmoq,to seem
собака,it / kuchuk,dog
домой,uyga,home
попасть,tushmoq / tegib ketmoq,to get into / to hit a target
услышать,eshitmoq,to hear
приходить,kelmoq,to come
кричать,baqirmoq / qichqirmoq,to shout
состояние,holat / ahvol,condition
произойти,sodir bo'lmoq,to occur
сон,uyqu / tush,dream
подняться,ko'tarilmoq,to rise
ладно,yaxshi / mayli,all right
карман,cho'ntak,pocket
часто,ko'pincha / tez-tez,often
случиться,sodir bo'lmoq / yuz bermoq,to happen
зелёный,yashil,green
девочка,qizcha / qiz bola,girl
камень,tosh,stone
сначала,avval / birinchi,first
ветер,shamol,wind
проблема,muammo / masala,problem
связь,aloqa / munosabat,communication
стараться,harakat qilmoq / urinmoq,to try
гость,mehmon,visitor
лучший,eng yaxshi,best
зуб,tish,tooth
мера,o'lchov / chora,measure
век,asr / umr,century
поехать,jo'namoq / ketmoq (transport),to depart / to drive
номер,raqam / nomer,number
странный,g'alati / ajib,strange
страшный,dahshatli / qo'rqinchli,terrible
средство,vosita / resurs,means
единственный,yagona,unique
действие,harakat / amal,action
ход,harakat / yo'nalish,course
государство,davlat,state
российский,Rossiya Federatsiyasining,of the Russian Federation
короткий,qisqa,short
уметь,udday olmoq / bilmoq (malaka),to know how / to be able
данный,berilgan / ushbu,given
необходимый,zarur / kerakli,necessary
глава,boshliq / bob,chief / chapter
партия,partiya / guruh,party (political) / group
край,chet / qirg'oq,edge / outskirt
вперёд,oldinga,forward
река,daryo,river
судьба,taqdir,destiny
рота,rota (harbiy),company (military) / squadron
добрый,mehribon / yaxshi,kind
речь,nutq / so'z,speech
заниматься,mashg'ul bo'lmoq,to be engaged
вполне,to'liq / tamomila,quite / completely
положить,qo'ymoq,to put
причина,sabab,reason
гора,tog',mountain
никак,hech qanday yo'l bilan,in no way
страх,qo'rquv,fear
тёмный,qorong'i / to'q (rang),dark
едва,zo'rg'a / qiyin bilan,hardly
море,dengiz,sea
зал,zal / xona,hall
серый,kulrang,grey
врач,shifokor / tabib,doctor
возле,yonida / atrofida,beside / by / near
довольно,yetarli / ancha,enough
командир,qo'mondon / komandир,commander
основной,asosiy,basic
медленно,asta / sekin,slowly
ясно,aniq / ravshan,clearly
боль,og'riq / dard,pain
господин,janob / ser,mister
вчера,kecha,yesterday
вещь,narsa / buyum,thing
результат,natija,result
число,son / raqam / sana,number / date
цель,maqsad,purpose
начаться,boshlanmoq,to begin
лёгкий,engil / oson,easy / light
звать,chaqirmoq,to call
положение,holat / vaziyat / o'rin,position
бывший,sobiq / ilgari,former
писатель,yozuvchi,writer
далеко,uzoqda / uzoqqa,far
бумага,qog'oz,paper
проходить,o'tmoq,to pass
удаться,uddag a olmoq / muvaffaqiyatli bo'lmoq,to succeed
план,reja / plan,plan
черта,xususiyat / chiziq,feature
около,yaqinida / atrofida,nearby
подобный,o'xshash / shunday,similar
широкий,keng,wide
завтра,ertaga,tomorrow
прийтись,to'g'ri kelmoq / mos tushmoq,to come / to fall within
документ,hujjat,document
снять,olib tashlаmoq / echmoq,to remove
плохо,yomon,badly
представить,taqdim etmoq,to present
прежний,oldingi / sobiq,former
произнести,talaffuz etmoq / aytmoq,to say / to pronounce
небольшой,kichik / kichkina,small
пустой,bo'sh,empty
обычно,odatda / rendomi,usually
знать (сущ.),zodagonlar / aristokratiya,aristocracy / nobility
волос,soch,hair
объяснить,tushuntirmoq,to explain
пара,juft / bir necha,pair
след,iz,trace
представлять,ifodalаmoq / ko'rsatmoq,to represent
решение,qaror,decision
купить,sotib olmoq,to buy
существовать,mavjud bo'lmoq,to exist
особый,maxsus / o'ziga xos,special
иначе,boshqacha / aks holda,otherwise
умереть,vafot etmoq / o'lmoq,to die
класс,sinf / klass,class
условие,shart / holat,condition
центр,markaz,center
красивый,chiroyli / go'zal,beautiful
скоро,tez orada / yaqinda,soon
прежде,ilgari / oldin,previously / before
пить,ichmoq,to drink
встреча,uchrashuv / muloqot,meeting
директор,direktor,director
рубль,rubl,rouble
однажды,bir kuni,once
служба,xizmat,service
процесс,jarayon,process
близкий,yaqin,close one
чистый,toza / sof,pure / clean
президент,prezident,president
память,xotira / eslash,memory
сквозь,orqali / ichidan,through
сообщить,xabar bermoq / bildirmoq,to inform
человеческий,insoniy,human
назвать,atamoq / nomlаmoq,to name
сей,bu / ushbu,this
герой,qahramon,hero
дух,ruh / maslak,spirit
худой,ozg'in / ingichka,thin
мимо,yonidan o'tib,past / by
возможно,ehtimol / balki,probably
враг,dushman,enemy
убить,o'ldirmoq,to kill
кстати,aytgancha / o'rinli,by the way
чужой,begona / boshqaning,another's
согласиться,rozi bo'lmoq,to agree
счастье,baxt / saodat,happiness
удар,zarba / urish,blow / impact
старший,katta / kattaroq,senior
вместо,o'rniga,instead of
самолёт,samolyot / uchar mashin,aircraft / aeroplane
трудно,qiyin,difficult
улыбнуться,jilmaymoq,to smile
деревня,qishloq,village
картина,rasm / manzara,picture
улыбаться,jilmaymoq,to smile
почувствовать,his qilmoq / sezmoq,to feel
будущее,kelajak,future
коридор,koridor,corridor
толстый,yo'g'on / semiz,thick / fat
нравиться,yoqmoq,to like
правый,o'ng,right
больной,kasal / og'riqli,ill / sick
ум,aql / idrok,mind
менее,kamroq,less
привести,olib kelmoq,to bring / to lead
предложить,taklif qilmoq,to offer
вызвать,chaqirmoq / sabab bo'lmoq,to cause
кабинет,kabinet / xona,cabinet
многие,ko'pchilik / ko'plar,many
легко,oson / yengil,easily
колено,tizza,knee
хватать,yetarli bo'lmoq / ushlamoq,to suffice / to grasp
принести,olib kelmoq / keltirmoq,to bring / to yield
всякое,har qanday / istalgan,every / any
бутылка,shisha / idish,bottle
государственный,davlat (sifat),state
рабочий,ishchi / ishning,worker's / working
сто,yuz,hundred
телефон,telefon,phone
компания,kompaniya,company
крупный,yirik / katta,large
открытый,ochiq,open
доктор,doktor / shifokor,doctor
принимать,qabul qilmoq,to accept
вниз,pastga,downwards
автор,muallif,author
мужик,qishloq kishisi / g'alati odam,peasant / boor
вовсе,umuman / aslo,at all
интерес,qiziqish / manfaat,interest
провести,o'tkazmoq / amalga oshirmoq,to lead / to carry out
хватить,yetmoq / yetarli bo'lmoq,to suffice
двое,ikki kishi,two
холодный,sovuq,cold
счёт,hisob,account
спокойно,xotirjam / tinch,calmly / easy
местный,mahalliy,local
лейтенант,leytenant,lieutenant
оружие,qurol,weapon
игра,o'yin,game
приходиться,majbur bo'lmoq / to'g'ri kelmoq,must / to come / to fall within
крикнуть,qichqirmoq,to shout
попросить,so'ramoq / iltimos qilmoq,to ask
требовать,talab qilmoq,to demand
бой,jang / kurash,fight
качество,sifat,quality
смеяться,kulmoq,to laugh
родной,tug'ilgan / o'z,native
жёлтый,sariq,yellow
член,a'zo / ishtirokchi,member
достаточно,yetarli / yetarlicha,enough / sufficient
хлеб,non,bread
прислать,yuborib qo'ymoq,to send
золотой,oltin / oltin rang,gold
политический,siyosiy,political
обычный,oddiy / odatdagi,usual
развитие,rivojlanish,development
важный,muhim / ahamiyatli,important
банк,bank,bank
совет,maslahat / кengаsh,advice
столько,shuncha,so many
возвращаться,qaytmoq / qaytib kelmoq,to come back
трубка,trubka / nay,tube
ладонь,kaft,palm
железный,temir (sifat),iron
оказываться,ma'lum bo'lmoq / chiqib qolmoq,to appear
институт,institut,institute
потерять,yo'qotmoq / qo'ldan bermoq,to lose
молодая,yosh (ayol) / kelin,young / bride
правительство,hukumat,government
остальной,qolgan / boshqa,other
выпить,ichib yubormoq,to drink
показывать,ko'rsatmoq,to show
идея,g'oya / fikr,idea
точка,nuqta,point
уровень,daraja / sath,level
профессор,professor,professor
наука,ilm / fan,science
событие,voqea / hodisa,event
союз,ittifoq / birlashma,union
король,qirol,king
половина,yarmi / yarim,half
метр,metr,meter
отдать,berib yubormoq,to give
вера,ishonch / e'tiqod,belief
кивнуть,bosh silkitmoq,to nod
область,viloyat / soha / maydon,area
